A	B	TargetPathway	type	val	Method
GSE20966	GSE21340	Type II diabetes mellitus	Jaccard index	0.08016877637130802	anubix-funcoup
GSE20966	GSE21340	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.25333333333333335	anubix-funcoup
GSE20966	GSE38642	Type II diabetes mellitus	Jaccard index	0.011904761904761904	anubix-funcoup
GSE20966	GSE38642	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.1	anubix-funcoup
GSE20966	GSE40234	Type II diabetes mellitus	Jaccard index	0.09268292682926829	anubix-funcoup
GSE20966	GSE40234	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.25333333333333335	anubix-funcoup
GSE21340	GSE38642	Type II diabetes mellitus	Jaccard index	0.0213903743315508	anubix-funcoup
GSE21340	GSE38642	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.4	anubix-funcoup
GSE21340	GSE40234	Type II diabetes mellitus	Jaccard index	0.6582914572864321	anubix-funcoup
GSE21340	GSE40234	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.8791946308724832	anubix-funcoup
GSE38642	GSE40234	Type II diabetes mellitus	Jaccard index	0	anubix-funcoup
GSE38642	GSE40234	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE10715	GSE13067	Colorectal cancer	Jaccard index	0.041666666666666664	anubix-funcoup
GSE10715	GSE13067	Colorectal cancer	Szymkiewicz–Simpson coefficient	0.08	anubix-funcoup
GSE10715	GSE31737	Colorectal cancer	Jaccard index	0.1095890410958904	anubix-funcoup
GSE10715	GSE31737	Colorectal cancer	Szymkiewicz–Simpson coefficient	0.32	anubix-funcoup
